product_id,sku,product_name,category_id,unit_cost,unit_price,weight_kg,volume_cubic_m,lead_time_days,safety_stock_days,min_order_quantity,is_perishable,is_active
1,SKU-00001,Basic Phone Case A,7,11.12,19.72,22.315,0.0444,16,2,1,True,True
2,SKU-00002,Standard Stapler A,14,22.9,36.49,11.285,0.1398,3,3,25,False,True
3,SKU-00003,Standard Drawer Lite,11,251.97,434.05,20.197,0.3651,20,2,25,True,True
4,SKU-00004,Economy Thermometer Lite,9,22.61,41.63,24.632,0.4278,6,5,10,False,True
5,SKU-00005,Advanced Tape Measure C,7,44.67,77.12,4.361,0.3648,8,5,25,False,True
6,SKU-00006,Basic Shampoo Pro,6,26.07,38.07,0.899,0.1584,11,2,5,False,True
7,SKU-00007,Ultra Screwdriver Set Pro,13,14.89,20.85,3.577,0.3727,20,4,50,False,True
8,SKU-00008,Ultra Oil Filter Lite,13,99.83,136.13,1.273,0.0557,8,7,25,False,True
9,SKU-00009,Professional Brake Pad,7,29.28,52.04,13.471,0.1341,13,2,10,False,True
10,SKU-00010,Professional Laptop Plus,7,24.05,45.92,7.531,0.3198,9,3,10,False,True
11,SKU-00011,Ultra Folder A,11,17.22,32.98,20.808,0.1544,4,3,50,False,True
12,SKU-00012,Premium Pen Set B,8,18.32,32.28,23.677,0.0834,19,6,25,False,True
13,SKU-00013,Ultra Cabinet Plus,13,77.02,148.63,11.342,0.1247,5,4,1,False,True
14,SKU-00014,Standard Vitamins Pro,9,383.14,516.16,0.882,0.1659,19,3,10,False,True
15,SKU-00015,Standard Binder C,13,27.06,39.78,11.877,0.2041,6,2,25,False,True
16,SKU-00016,Professional Paper Ream A,6,29.6,46.82,8.549,0.431,10,3,5,False,True
17,SKU-00017,Standard Battery C,7,47.49,76.47,21.548,0.2756,4,7,50,False,True
18,SKU-00018,Premium Pot C,12,63.7,123.05,4.199,0.0021,15,4,25,False,True
19,SKU-00019,Basic Shampoo,15,218.68,396.91,1.618,0.1575,4,6,25,False,True
20,SKU-00020,Advanced Folder C,7,303.13,520.33,16.913,0.1184,6,6,5,False,True
21,SKU-00021,Premium Thermometer B,11,70.86,138.48,5.186,0.3584,10,4,25,False,True
22,SKU-00022,Basic Hammer,6,82.63,133.93,24.962,0.4981,5,6,5,False,True
23,SKU-00023,Standard Level B,13,14.24,26.82,17.618,0.3062,19,2,50,False,True
24,SKU-00024,Basic Tablet C,14,92.28,130.01,7.116,0.1061,13,3,10,False,True
25,SKU-00025,Economy Mouse B,6,25.73,39.46,3.357,0.4899,8,7,25,False,True
26,SKU-00026,Professional Shampoo A,14,478.02,633.48,9.293,0.2767,16,3,1,False,True
27,SKU-00027,Advanced Keyboard Lite,11,47.47,87.63,22.115,0.2038,7,3,5,False,True
28,SKU-00028,Advanced Shelf Max,12,394.63,734.63,21.615,0.4056,11,3,1,False,True
29,SKU-00029,Premium Notebook Pro,10,467.38,876.05,21.796,0.1122,9,5,10,False,True
30,SKU-00030,Premium Blender Lite,11,14.99,29.34,2.972,0.4852,8,6,10,True,True
31,SKU-00031,Ultra Battery Lite,14,12.84,17.73,22.498,0.0958,4,7,25,True,True
32,SKU-00032,Advanced Binder Pro,11,34.9,60.59,16.618,0.0632,12,6,10,False,True
33,SKU-00033,Economy Oil Filter Plus,12,9.8,17.39,22.58,0.3081,12,5,50,False,True
34,SKU-00034,Economy Drill Pro,11,70.6,114.76,11.11,0.1076,18,7,5,False,True
35,SKU-00035,Economy Stapler Lite,10,480.8,700.65,5.058,0.0132,10,5,50,False,True
36,SKU-00036,Premium Paper Ream Max,12,19.39,31.92,6.175,0.3284,3,2,25,False,True
37,SKU-00037,Advanced Folder,13,199.68,278.22,11.67,0.266,20,6,10,False,True
38,SKU-00038,Professional Thermometer Max,13,18.7,30.2,18.819,0.4201,11,6,25,False,True
39,SKU-00039,Economy Wiper Blade B,11,10.86,20.91,2.106,0.0763,15,7,5,False,True
40,SKU-00040,Premium Air Filter Max,9,62.61,117.9,9.798,0.3851,3,6,25,False,True
41,SKU-00041,Economy Hammer Max,14,28.84,52.58,13.699,0.302,10,5,5,False,True
42,SKU-00042,Professional Monitor Max,8,77.54,146.42,22.997,0.4904,20,2,25,False,True
43,SKU-00043,Basic Monitor B,8,8.39,11.2,9.54,0.1066,13,4,25,False,True
44,SKU-00044,Advanced Air Filter Plus,14,16.76,22.4,23.803,0.1129,5,7,1,False,True
45,SKU-00045,Standard Cabinet A,7,10.96,18.57,5.527,0.35,14,3,50,False,True
46,SKU-00046,Basic Phone Case C,10,7.7,13.11,22.71,0.1883,9,2,50,False,True
47,SKU-00047,Basic Pot B,15,12.54,23.37,19.926,0.2834,4,4,50,False,True
48,SKU-00048,Economy Headphones Lite,7,268.02,429.76,9.118,0.4459,17,7,5,False,True
49,SKU-00049,Basic Folder Plus,13,27.99,45.5,20.661,0.2966,13,3,1,False,True
50,SKU-00050,Professional Pot,6,21.7,35.72,8.193,0.2443,14,4,10,False,True
51,SKU-00051,Ultra Blender A,12,9.78,16.06,18.978,0.3456,18,5,1,True,True
52,SKU-00052,Standard Oil Filter Pro,14,70.71,118.2,10.695,0.3732,13,4,25,False,True
53,SKU-00053,Economy Pan B,14,12.89,25.34,17.285,0.0966,18,4,50,False,True
54,SKU-00054,Ultra First Aid Kit Plus,9,25.82,40.09,7.626,0.3543,7,4,1,False,True
55,SKU-00055,Ultra Drill C,6,23.82,40.54,11.788,0.2208,8,2,10,False,True
56,SKU-00056,Professional Phone Case B,6,35.19,49.48,20.297,0.4746,5,3,1,False,True
57,SKU-00057,Professional First Aid Kit Pro,10,14.51,27.6,24.752,0.1534,4,6,1,False,True
58,SKU-00058,Standard Drawer Plus,14,8.93,12.08,0.167,0.2258,18,4,1,False,True
59,SKU-00059,Basic Drill,15,193.37,340.88,23.348,0.2131,20,3,5,False,True
60,SKU-00060,Advanced Desk B,10,417.05,670.37,11.771,0.1527,15,4,50,False,True
61,SKU-00061,Professional Speaker A,10,23.36,30.79,5.8,0.3375,21,6,1,False,True
62,SKU-00062,Basic Blender A,13,9.38,18.21,4.619,0.2931,18,2,25,False,True
63,SKU-00063,Economy Screwdriver Set B,13,13.25,19.9,23.635,0.407,20,2,25,True,True
64,SKU-00064,Economy Screwdriver Set B,6,15.1,26.58,13.611,0.2072,9,6,10,False,True
65,SKU-00065,Professional Wiper Blade A,10,68.45,109.98,17.486,0.0616,10,7,5,False,True
66,SKU-00066,Premium Shampoo Max,13,496.9,975.39,16.228,0.0778,12,6,10,False,True
67,SKU-00067,Professional Notebook Pro,15,40.12,66.43,21.995,0.4321,11,5,10,False,True
68,SKU-00068,Ultra Blender A,15,50.9,101.76,12.292,0.0751,20,5,10,False,True
69,SKU-00069,Advanced Binder Max,9,52.52,89.3,5.916,0.388,4,4,25,False,True
70,SKU-00070,Advanced Brake Pad Max,8,24.81,40.86,1.022,0.2516,21,4,1,False,True
71,SKU-00071,Professional Tablet,7,157.66,256.77,24.233,0.1699,15,7,1,False,True
72,SKU-00072,Advanced Binder Max,13,20.67,39.49,0.994,0.0351,12,3,1,False,True
73,SKU-00073,Premium Tablet,6,219.79,335.63,1.497,0.1799,16,3,5,False,True
74,SKU-00074,Ultra Shelf C,15,343.8,611.34,12.492,0.292,10,5,10,False,True
75,SKU-00075,Basic Laptop,7,21.94,35.31,8.705,0.2942,16,7,10,False,True
76,SKU-00076,Economy Cabinet Max,15,7.67,11.9,7.467,0.3499,3,7,25,False,True
77,SKU-00077,Ultra Mouse,9,27.57,47.56,8.873,0.3187,11,7,5,False,True
78,SKU-00078,Basic Keyboard Plus,8,5.83,7.95,7.448,0.374,8,3,5,False,True
79,SKU-00079,Economy Folder Plus,10,11.42,20.81,8.534,0.0585,5,3,5,False,True
80,SKU-00080,Basic Oil Filter Lite,14,257.83,357.48,9.278,0.3748,11,6,25,False,True
81,SKU-00081,Economy Tablet Pro,14,73.37,112.23,15.291,0.3242,17,7,10,False,True
82,SKU-00082,Premium Chair A,7,12.61,17.25,22.193,0.0687,17,4,50,False,True
83,SKU-00083,Basic Desk Max,12,25.84,50.58,7.066,0.3455,9,5,25,False,True
84,SKU-00084,Advanced Tape Measure B,11,14.18,19.04,6.969,0.4841,17,2,5,False,True
85,SKU-00085,Ultra Monitor A,15,11.09,16.01,20.762,0.2775,21,3,5,False,True
86,SKU-00086,Standard First Aid Kit A,14,98.88,145.89,4.445,0.3309,3,3,1,False,True
87,SKU-00087,Advanced Pot Lite,12,206.15,343.91,18.667,0.2386,14,6,50,False,True
88,SKU-00088,Ultra Pan A,14,27.72,41.89,16.119,0.0165,18,5,25,False,True
89,SKU-00089,Professional Wiper Blade B,7,13.05,18.12,15.646,0.2931,13,5,50,False,True
90,SKU-00090,Professional Stapler Max,9,380.71,609.54,22.213,0.2075,17,5,25,False,True
91,SKU-00091,Economy Battery Lite,13,14.36,19.34,20.811,0.0475,6,7,10,False,True
92,SKU-00092,Ultra Mouse Lite,12,15.27,29.13,18.054,0.4842,12,4,1,False,True
93,SKU-00093,Standard Desk,14,37.58,58.52,19.089,0.2875,16,6,50,False,True
94,SKU-00094,Basic Shampoo A,10,21.45,28.32,6.904,0.3814,13,4,1,False,True
95,SKU-00095,Standard Lotion Max,7,396.39,722.33,5.457,0.2105,13,3,10,False,True
96,SKU-00096,Economy Lotion B,15,8.89,11.87,2.131,0.2221,16,5,50,False,True
